voltage	series1	series2	series3	series4	series5	series6	series7	
0.23	0.02153051	0.1915442	0.1815759	0.1312644	0.05200633	0.1099465	0.1129537
0.2	0.01334915	0.1555015	0.1515756	0.1056035	0.03981798	0.08920553	0.09159308
0.17	0.00594274	0.1253928	0.1221173	0.08207912	0.02873567	0.06973335	0.07146454
0.14	-0.0008460399	0.0948672	0.09308609	0.06045311	0.01863109	0.05166918	0.05278282
0.11	-0.007871909	0.07167453	0.06584791	0.04085948	0.009637231	0.03494323	0.03541438
0.08	-0.01319179	0.04412181	0.03994784	0.02306904	0.001321332	0.01943639	0.01917815
0.05	-0.01762482	0.019652	0.01716879	0.007503089	-0.005936265	0.005408049	0.004602349
0.02	-0.02209749	-0.003426845	-0.004885096	-0.00667487	-0.01277827	-0.007594017	-0.009113804
-0.01	-0.02615042	-0.05860607	-0.04914053	-0.01984604	-0.01836914	-0.01986546	-0.02206108
-0.04	-0.029843	-0.2315243	-0.1306011	-0.03049761	-0.02351325	-0.0302606	-0.0332726
-0.07	-0.03396475	-0.4106628	-0.2245147	-0.04353163	-0.02983793	-0.04209205	-0.04604178
-0.1	-0.04225803	-0.5883734	-0.3214345	-0.06711284	-0.04186591	-0.06262707	-0.06869248
