voltage	series1	series2	series3	series4	series5	series6	series7	series8	
0.5	0.1467546	0.4859919	0.4684756	0.2036546	0.3272601	0.3381668	0.4132695	0.3140333
0.47	0.1340576	0.4433549	0.4262436	0.1847938	0.2969773	0.3067501	0.3744494	0.2843573
0.44	0.1215569	0.4016872	0.3853305	0.1665348	0.2682303	0.2762701	0.3372808	0.2559194
0.41	0.1094107	0.3617038	0.3459213	0.1491111	0.240645	0.247364	0.3018941	0.2293767
0.38	0.09768285	0.3229376	0.308283	0.132525	0.2144233	0.2196782	0.2681592	0.2039085
0.35	0.08645936	0.286118	0.2723782	0.116809	0.189339	0.1935397	0.2362929	0.1793654
0.32	0.0758228	0.250956	0.2381896	0.1018655	0.1657838	0.1689575	0.2060404	0.1565529
0.29	0.0656695	0.2175989	0.2058443	0.08777556	0.143392	0.1457792	0.1777616	0.1349736
0.26	0.0560838	0.1860767	0.1755402	0.07470875	0.1223767	0.1241508	0.1511556	0.1146989
0.23	0.04713772	0.1564557	0.1471386	0.06247518	0.1026791	0.1038351	0.126326	0.09582547
0.2	0.03880234	0.1289473	0.1208261	0.05116981	0.08435755	0.08498644	0.1034245	0.07858058
0.17	0.03109466	0.1034807	0.09663404	0.04076886	0.06751543	0.06778572	0.08235522	0.06272138
0.14	0.02406709	0.08011983	0.0746935	0.0313203	0.05216117	0.05213125	0.06341183	0.04820164
0.11	0.01772101	0.05909661	0.0549282	0.02290004	0.03829223	0.03809196	0.04637168	0.03530015
0.08	0.01199317	0.04011654	0.03714964	0.01535486	0.02582431	0.02557902	0.03114704	0.02373424
0.05	0.006981079	0.02347114	0.02166482	0.008851658	0.0149717	0.014746	0.0180057	0.0137484
0.02	0.002559811	0.008950929	0.008210558	0.0032094	0.005553801	0.00545503	0.006710501	0.005072134
-0.01	-0.001437028	-0.004321322	-0.003961023	-0.001791225	-0.002897112	-0.002814932	-0.003376366	-0.00271772
-0.04	-0.004827169	-0.3921577	-0.01402963	-0.005940555	-0.009938477	-0.009642976	-0.01161743	-0.009244695
-0.07	-0.007833171	-0.6798059	-0.02268327	-0.009554224	-0.01638978	-0.0158867	-0.0187725	-0.01512436
-0.1	-0.01046084	-0.9692634	-0.0303929	-0.01286218	-0.02151745	-0.02082358	-0.02521142	-0.02009273
