voltage	series1	series2	series3	series4	series5	series6	series7	series8
0.3335	0.4318592	0.3342412	0.343218	0.8061136	0.7239399	0.5379954	0.6657541	1.29521
0.3	0.3563579	0.2663654	0.272617	0.6784177	0.5875938	0.4308985	0.5368835	1.095261
0.2665	0.2840045	0.2029416	0.207792	0.5581488	0.463376	0.3326904	0.4210144	0.9089822
0.2335	0.2158936	0.1442668	0.1479429	0.4468022	0.3502248	0.24408	0.3191604	0.7367904
0.2	0.151245	0.09004792	0.09480688	0.3433811	0.2479911	0.1637069	0.2283581	0.5770007
0.1665	0.0911333	0.03906779	0.04544649	0.2472998	0.1565486	0.09157472	0.1493424	0.4304025
0.1335	0.03625517	-0.005880727	0.003007694	0.1627471	0.07854086	0.02908256	0.08372217	0.3019553
0.1	-0.01406024	-0.05293976	-0.03656124	0.08677463	0.008437361	-0.02637882	0.02757237	0.1865596
0.0665	-0.05973832	-0.08254033	-0.06616251	0.01810318	-0.05217283	-0.07464261	-0.02005308	0.08520821
0.0335	-0.09926709	-0.1198576	-0.09414854	-0.03956218	-0.09782103	-0.1184011	-0.05659854	-0.0003466814
0	-0.1467369	-0.1414872	-0.1259469	-0.09053941	-0.1472725	-0.148818	-0.08735862	-0.07926405
-0.0335	-0.1666794	-0.1662876	-0.1384709	-0.1385752	-0.1742979	-0.1791368	-0.1162422	-0.1423282
-0.0665	-0.1925952	-0.1882802	-0.1580641	-0.1724113	-0.2041028	-0.2053931	-0.1399653	-0.1944614
