voltage	series1	
-0.1	-0.2417464
-0.0665	-0.1961146
-0.0335	-0.1608157
0	-0.1353101
0.0335	-0.1141062
0.0665	-0.09560882
0.1	-0.06296799
0.1335	-0.02870921
0.1665	0.01037453
0.2	0.05443391
0.2335	0.1013039
0.2665	0.1488222
0.3	0.2067091
0.3335	0.2655142
0.3665	0.3277298
0.4	0.3925339
0.4335	0.4606049
0.4665	0.5306182
0.5	0.6022793
0.5335	0.6770884
0.5665	0.7513924
0.6	0.8269085
0.6335	0.9010084
0.6665	0.9742329
0.7	1.052063
0.7335	1.140397
0.7665	1.250018
0.8	1.413938
0.8335	1.681073
0.8665	2.043698
0.9	2.487264
0.9335	2.977132
0.9665	3.489655
1	4.033661
1.0335	4.588979
1.0665	5.149751
1.1	5.719913
1.1335	6.292663
1.1665	6.866277
1.2	7.447479
1.1665	7.000297
1.1335	6.543955
1.1	6.084697
1.0665	5.634414
1.0335	5.202607
1	4.787503
0.9665	4.39331
0.9335	4.038455
0.9	3.7078
0.8665	3.407169
0.8335	3.142692
0.8	2.899169
0.7665	2.678744
0.7335	2.471901
0.7	2.270248
0.6665	2.073216
0.6335	1.884907
0.6	1.701607
0.5665	1.525035
0.5335	1.359487
0.5	1.199937
0.4665	1.049835
0.4335	0.9098517
0.4	0.7767436
0.3665	0.6525462
0.3335	0.5379954
0.3	0.4308985
0.2665	0.3326904
0.2335	0.24408
0.2	0.1637069
0.1665	0.09157472
0.1335	0.02908256
0.1	-0.02637882
0.0665	-0.07464261
0.0335	-0.1184011
0	-0.148818
-0.0335	-0.1791368
-0.0665	-0.2053931
