voltage	series1	
-0.1	-0.1361497
-0.0665	-0.08752834
-0.0335	-0.04898724
0	-0.02746936
0.0335	-0.01110577
0.0665	0.002692567
0.1	0.02124599
0.1335	0.04366778
0.1665	0.06846134
0.2	0.0961925
0.2335	0.1238513
0.2665	0.1559011
0.3	0.1900263
0.3335	0.2261797
0.3665	0.2640036
0.4	0.304769
0.4335	0.3465959
0.4665	0.3900701
0.5	0.4359678
0.5335	0.4832644
0.5665	0.5324321
0.6	0.5834022
0.6335	0.634789
0.6665	0.6885718
0.7	0.7487374
0.7335	0.8275741
0.7665	0.9638062
0.8	1.156336
0.8335	1.623488
0.8665	2.087402
0.9	2.550766
0.9335	3.009063
0.9665	3.466324
1	3.931231
1.0335	4.394964
1.0665	4.857093
1.1	5.323272
1.1335	5.78714
1.1665	6.247215
1.2	6.7082
1.1665	6.517194
1.1335	6.289141
1.1	6.043394
1.0665	5.793323
1.0335	5.54344
1	5.287196
0.9665	5.025252
0.9335	4.766653
0.9	4.500141
0.8665	4.230835
0.8335	3.966243
0.8	3.696018
0.7665	3.429255
0.7335	3.168127
0.7	2.911253
0.6665	2.660397
0.6335	2.41955
0.6	2.188367
0.5665	1.966467
0.5335	1.755423
0.5	1.555771
0.4665	1.36887
0.4335	1.193052
0.4	1.028321
0.3665	0.8752002
0.3335	0.7355955
0.3	0.6070858
0.2665	0.4908663
0.2335	0.3876482
0.2	0.2950386
0.1665	0.2135465
0.1335	0.1444711
0.1	0.08515652
0.0665	0.0349692
0.0335	-0.005232916
0	-0.04114868
-0.0335	-0.06422884
-0.0665	-0.08968207
