voltage	series1	
-0.1	-0.04069737
-0.0665	-0.03489961
-0.0335	-0.02974669
0	-0.02560352
0.0335	-0.02173728
0.0665	-0.0179227
0.1	-0.01413821
0.1335	-0.01028731
0.1665	-0.005837831
0.2	-0.001138445
0.2335	0.003787789
0.2665	0.008894582
0.3	0.01452009
0.3335	0.02002473
0.3665	0.02582818
0.4	0.03214591
0.4335	0.03898946
0.4665	0.04581288
0.5	0.05306237
0.5335	0.0604323
0.5665	0.06873186
0.6	0.07780911
0.6335	0.08739797
0.6665	0.100065
0.7	0.1180837
0.7335	0.1834228
0.7665	0.4385479
0.8	0.8702793
0.8335	1.171893
0.8665	1.701636
0.9	2.140079
0.9335	2.554065
0.9665	2.960325
1	3.372652
1.0335	3.784583
1.0665	4.193258
1.1	4.600734
1.1335	5.00584
1.1665	5.405413
1.2	5.800594
1.1665	5.661082
1.1335	5.47441
1.1	5.264346
1.0665	5.035074
1.0335	4.791885
1	4.527664
0.9665	4.247266
0.9335	3.961778
0.9	3.665245
0.8665	3.363823
0.8335	3.065088
0.8	2.767074
0.7665	2.476775
0.7335	2.193607
0.7	1.924295
0.6665	1.671963
0.6335	1.436482
0.6	1.219346
0.5665	1.024675
0.5335	0.8502016
0.5	0.7014433
0.4665	0.5737215
0.4335	0.4641144
0.4	0.369142
0.3665	0.2903478
0.3335	0.2249615
0.3	0.1706167
0.2665	0.1265173
0.2335	0.08981449
0.2	0.06055055
0.1665	0.03733424
0.1335	0.01947267
0.1	0.00503922
0.0665	-0.005887924
0.0335	-0.01453613
0	-0.01968816
-0.0335	-0.02430302
-0.0665	-0.02941819
