voltage	series1	series2	
-0.1	-0.1634312	-0.185807
-0.0665	-0.1375723	-0.1445
-0.0335	-0.1187791	-0.1092162
0	-0.1025675	-0.07619712
0.0335	-0.09255404	-0.04094969
0.0665	-0.08178161	-0.007579529
0.1	-0.07055866	0.03456435
0.1335	-0.05717259	0.08154233
0.1665	-0.0398003	0.1345748
0.2	-0.02080359	0.1990144
0.2335	0.002124908	0.2710497
0.2665	0.0278013	0.3508597
0.3	0.05231277	0.4393
0.3335	0.08214465	0.53505
0.3665	0.1150077	0.637862
0.4	0.1489901	0.7478353
0.4335	0.1861583	0.8640169
0.4665	0.2253959	0.9838113
0.5	0.2665724	1.098873
0.5335	0.307417	1.236243
0.5665	0.3522228	1.368828
0.6	0.3957314	1.503541
0.6335	0.4410803	1.640222
0.6665	0.486336	1.777372
0.7	0.5352981	1.917837
0.7335	0.5956934	2.058733
0.7665	0.6742644	2.201012
0.8	0.7928392	2.34788
0.8335	0.9806653	2.505433
0.8665	1.209177	2.674487
0.9	1.60448	2.887136
0.9335	2.052598	3.148144
0.9665	2.556918	3.455353
1	3.120475	3.814655
1.0335	3.710163	4.210572
1.0665	4.312875	4.63933
1.1	4.926939	5.087419
1.1335	5.544721	5.562424
1.1665	6.161477	6.031046
1.2	6.776172	6.514121
1.1665	6.303184	6.187534
1.1335	5.81585	5.863406
1.1	5.317213	5.522973
1.0665	4.829115	5.192029
1.0335	4.355128	4.874531
1	3.895405	4.571615
0.9665	3.455736	4.282753
0.9335	3.060307	4.016703
0.9	2.695845	3.760949
0.8665	2.370936	3.5228
0.8335	2.099407	3.308049
0.8	1.867418	3.105303
0.7665	1.681503	2.912207
0.7335	1.534136	2.72753
0.7	1.408639	2.547038
0.6665	1.296401	2.369853
0.6335	1.189046	2.195754
0.6	1.083081	2.025
0.5665	0.9785264	1.85793
0.5335	0.8755711	1.693575
0.5	0.7752252	1.533884
0.4665	0.6792529	1.377835
0.4335	0.5875399	1.226569
0.4	0.5002818	1.080278
0.3665	0.4193068	0.9396706
0.3335	0.343218	0.8061136
0.3	0.272617	0.6784177
0.2665	0.207792	0.5581488
0.2335	0.1479429	0.4468022
0.2	0.09480688	0.3433811
0.1665	0.04544649	0.2472998
0.1335	0.003007694	0.1627471
0.1	-0.03656124	0.08677463
0.0665	-0.06616251	0.01810318
0.0335	-0.09414854	-0.03956218
0	-0.1259469	-0.09053941
-0.0335	-0.1384709	-0.1385752
-0.0665	-0.1580641	-0.1724113
