voltage	series1	series2	series3	
-0.1	-0.2417464	-0.1242876	-0.2138036
-0.0665	-0.1961146	-0.09382615	-0.159089
-0.0335	-0.1608157	-0.0716866	-0.1086733
0	-0.1353101	-0.0554402	-0.06176488
0.0335	-0.1141062	-0.04135091	-0.01138075
0.0665	-0.09560882	-0.03730742	0.03483273
0.1	-0.06296799	-0.03063874	0.09240178
0.1335	-0.02870921	-0.01889515	0.1578662
0.1665	0.01037453	-0.005230304	0.2381459
0.2	0.05443391	0.01225551	0.3309477
0.2335	0.1013039	0.0299554	0.4347742
0.2665	0.1488222	0.05028704	0.549223
0.3	0.2067091	0.07327896	0.6754589
0.3335	0.2655142	0.09776249	0.8126602
0.3665	0.3277298	0.1246711	0.9579762
0.4	0.3925339	0.1532427	1.100835
0.4335	0.4606049	0.1835607	1.275828
0.4665	0.5306182	0.2152084	1.445022
0.5	0.6022793	0.2488428	1.620837
0.5335	0.6770884	0.2831331	1.801847
0.5665	0.7513924	0.3178132	1.984503
0.6	0.8269085	0.3537097	2.171526
0.6335	0.9010084	0.3890209	2.362003
0.6665	0.9742329	0.4271012	2.551472
0.7	1.052063	0.4741974	2.744042
0.7335	1.140397	0.5427024	2.937738
0.7665	1.250018	0.666509	3.131869
0.8	1.413938	0.9038247	3.33162
0.8335	1.681073	1.21868	3.545958
0.8665	2.043698	1.726041	3.790518
0.9	2.487264	2.288454	4.111316
0.9335	2.977132	2.880718	4.511194
0.9665	3.489655	3.485318	4.962949
1	4.033661	4.116827	5.462103
1.0335	4.588979	4.752906	5.987667
1.0665	5.149751	5.380981	6.526908
1.1	5.719913	6.015644	7.090669
1.1335	6.292663	6.652946	7.664267
1.1665	6.866277	7.280537	8.24428
1.2	7.447479	7.912426	8.838986
1.1665	7.000297	7.510783	8.537997
1.1335	6.543955	7.096002	8.208945
1.1	6.084697	6.671538	7.858273
1.0665	5.634414	6.249265	7.510213
1.0335	5.202607	5.842988	7.166964
1	4.787503	5.450243	6.831517
0.9665	4.39331	5.073084	6.498281
0.9335	4.038455	4.727074	6.185478
0.9	3.7078	4.401532	5.870724
0.8665	3.407169	4.098268	5.563291
0.8335	3.142692	3.822465	5.268379
0.8	2.899169	3.555955	4.965785
0.7665	2.678744	3.303007	4.66954
0.7335	2.471901	3.058452	4.377209
0.7	2.270248	2.815851	4.086409
0.6665	2.073216	2.576514	3.797841
0.6335	1.884907	2.34581	3.517698
0.6	1.701607	2.12007	3.239872
0.5665	1.525035	1.902859	2.966987
0.5335	1.359487	1.694028	2.705859
0.5	1.199937	1.494223	2.44723
0.4665	1.049835	1.305415	2.19748
0.4335	0.9098517	1.12857	1.958088
0.4	0.7767436	0.9617136	1.725711
0.3665	0.6525462	0.8071194	1.50377
0.3335	0.5379954	0.6657541	1.29521
0.3	0.4308985	0.5368835	1.095261
0.2665	0.3326904	0.4210144	0.9089822
0.2335	0.24408	0.3191604	0.7367904
0.2	0.1637069	0.2283581	0.5770007
0.1665	0.09157472	0.1493424	0.4304025
0.1335	0.02908256	0.08372217	0.3019553
0.1	-0.02637882	0.02757237	0.1865596
0.0665	-0.07464261	-0.02005308	0.08520821
0.0335	-0.1184011	-0.05659854	-0.0003466814
0	-0.148818	-0.08735862	-0.07926405
-0.0335	-0.1791368	-0.1162422	-0.1423282
-0.0665	-0.2053931	-0.1399653	-0.1944614
