voltage	series1	
-0.1	-0.09331585
-0.0665	-0.06655551
-0.0335	-0.04266755
0	-0.02504701
0.0335	-0.01024698
0.0665	0.002965838
0.1	0.01892912
0.1335	0.03667711
0.1665	0.0585945
0.2	0.08550695
0.2335	0.1167627
0.2665	0.155045
0.3	0.2005656
0.3335	0.2534269
0.3665	0.3140828
0.4	0.3825359
0.4335	0.464967
0.4665	0.5423306
0.5	0.6274921
0.5335	0.721544
0.5665	0.819856
0.6	0.9241893
0.6335	1.030418
0.6665	1.131525
0.7	1.254232
0.7335	1.382248
0.7665	1.527431
0.8	1.723721
0.8335	2.042208
0.8665	2.43464
0.9	2.851957
0.9335	3.275866
0.9665	3.698985
1	4.137776
1.0335	4.580893
1.0665	5.022692
1.1	5.468972
1.1335	5.914855
1.1665	6.357535
1.2	6.798294
1.1665	6.643188
1.1335	6.444263
1.1	6.225358
1.0665	5.997949
1.0335	5.762083
1	5.512997
0.9665	5.251974
0.9335	4.98974
0.9	4.715015
0.8665	4.433023
0.8335	4.156041
0.8	3.869979
0.7665	3.590972
0.7335	3.316346
0.7	3.045802
0.6665	2.781634
0.6335	2.530087
0.6	2.289223
0.5665	2.057991
0.5335	1.840247
0.5	1.633303
0.4665	1.436043
0.4335	1.25349
0.4	1.081589
0.3665	0.9201482
0.3335	0.7739969
0.3	0.639412
0.2665	0.5171861
0.2335	0.4089408
0.2	0.3128932
0.1665	0.2279277
0.1335	0.1577943
0.1	0.09764227
0.0665	0.04735085
0.0335	0.008176287
0	-0.0257659
-0.0335	-0.04999382
-0.0665	-0.076387
