voltage	series1	
-0.1	-0.0495533
-0.0665	-0.03180246
-0.0335	-0.01601921
0	-8.014553E-05
0.0335	0.0170826
0.0665	0.03432779
0.1	0.0534626
0.1335	0.07407743
0.1665	0.09619725
0.2	0.12037
0.2335	0.1477533
0.2665	0.1775922
0.3	0.2106826
0.3335	0.2469616
0.3665	0.2864241
0.4	0.3298623
0.4335	0.3770311
0.4665	0.4278512
0.5	0.4832952
0.5335	0.5428382
0.5665	0.6061782
0.6	0.6743162
0.6335	0.7463294
0.6665	0.8222271
0.7	0.9021292
0.7335	0.9864315
0.7665	1.076614
0.8	1.167789
0.8335	1.269773
0.8665	1.374395
0.9	1.484983
0.9335	1.596475
0.9665	1.707458
1	1.82184
1.0335	1.936589
1.0665	2.051055
1.1	2.166113
1.1335	2.282308
1.1665	2.400153
1.2	2.522199
1.1665	2.441182
1.1335	2.358881
1.1	2.274679
1.0665	2.191741
1.0335	2.110029
1	2.028188
0.9665	1.946064
0.9335	1.866899
0.9	1.786547
0.8665	1.706306
0.8335	1.627916
0.8	1.547988
0.7665	1.469485
0.7335	1.392502
0.7	1.316427
0.6665	1.240726
0.6335	1.166169
0.6	1.091557
0.5665	1.017186
0.5335	0.9440217
0.5	0.8708935
0.4665	0.7986893
0.4335	0.7281058
0.4	0.6578183
0.3665	0.58904
0.3335	0.5221508
0.3	0.4566828
0.2665	0.3932551
0.2335	0.3326599
0.2	0.2743868
0.1665	0.2186962
0.1335	0.1678665
0.1	0.1197505
0.0665	0.07540291
0.0335	0.03647344
0	0.0003966382
-0.0335	-0.03140406
-0.0665	-0.05748967
