voltage	series1	
-0.1	-0.1634312
-0.0665	-0.1375723
-0.0335	-0.1187791
0	-0.1025675
0.0335	-0.09255404
0.0665	-0.08178161
0.1	-0.07055866
0.1335	-0.05717259
0.1665	-0.0398003
0.2	-0.02080359
0.2335	0.002124908
0.2665	0.0278013
0.3	0.05231277
0.3335	0.08214465
0.3665	0.1150077
0.4	0.1489901
0.4335	0.1861583
0.4665	0.2253959
0.5	0.2665724
0.5335	0.307417
0.5665	0.3522228
0.6	0.3957314
0.6335	0.4410803
0.6665	0.486336
0.7	0.5352981
0.7335	0.5956934
0.7665	0.6742644
0.8	0.7928392
0.8335	0.9806653
0.8665	1.209177
0.9	1.60448
0.9335	2.052598
0.9665	2.556918
1	3.120475
1.0335	3.710163
1.0665	4.312875
1.1	4.926939
1.1335	5.544721
1.1665	6.161477
1.2	6.776172
1.1665	6.303184
1.1335	5.81585
1.1	5.317213
1.0665	4.829115
1.0335	4.355128
1	3.895405
0.9665	3.455736
0.9335	3.060307
0.9	2.695845
0.8665	2.370936
0.8335	2.099407
0.8	1.867418
0.7665	1.681503
0.7335	1.534136
0.7	1.408639
0.6665	1.296401
0.6335	1.189046
0.6	1.083081
0.5665	0.9785264
0.5335	0.8755711
0.5	0.7752252
0.4665	0.6792529
0.4335	0.5875399
0.4	0.5002818
0.3665	0.4193068
0.3335	0.343218
0.3	0.272617
0.2665	0.207792
0.2335	0.1479429
0.2	0.09480688
0.1665	0.04544649
0.1335	0.003007694
0.1	-0.03656124
0.0665	-0.06616251
0.0335	-0.09414854
0	-0.1259469
-0.0335	-0.1384709
-0.0665	-0.1580641
