voltage	series1	series2	series3	series4	series5	series6	series7	series8
0.3335	0.7739969	0.7355955	0.8136719	0.9539668	0.2249615	0.5380518	0.4997065	0.793217
0.3	0.639412	0.6070858	0.6734945	0.8038475	0.1706167	0.4321164	0.3933958	0.6556985
0.2665	0.5171861	0.4908663	0.5463242	0.665111	0.1265173	0.3387469	0.3015453	0.5307775
0.2335	0.4089408	0.3876482	0.432732	0.5384297	0.08981449	0.2583944	0.2249433	0.4217057
0.2	0.3128932	0.2950386	0.3307124	0.4234622	0.06055055	0.1896299	0.1601737	0.3242115
0.1665	0.2279277	0.2135465	0.2400704	0.3194894	0.03733424	0.1309424	0.1065345	0.2394371
0.1335	0.1577943	0.1444711	0.1636167	0.2305108	0.01947267	0.08287942	0.06394957	0.169244
0.1	0.09764227	0.08515652	0.09722994	0.1522827	0.00503922	0.04369766	0.0300169	0.1090671
0.0665	0.04735085	0.0349692	0.04084988	0.0851141	-0.005887924	0.012208	0.003501482	0.05877597
0.0335	0.008176287	-0.005232916	-0.004074529	0.03030831	-0.01453613	-0.01122755	-0.01657705	0.01902457
0	-0.0257659	-0.04114868	-0.04357595	-0.01581772	-0.01968816	-0.02935031	-0.03030844	-0.01388293
-0.0335	-0.04999382	-0.06422884	-0.07023331	-0.05397553	-0.02430302	-0.04300647	-0.04125648	-0.04091082
-0.0665	-0.076387	-0.08968207	-0.09611106	-0.08917042	-0.02941819	-0.05924141	-0.05217942	-0.06787597
